155558225	gfgd	gfgdf	300.2	06	04	1996	32	no
155895785	gfgd	gfgdf	300.2	06	04	1996	32	no
158896515	gfgd	gfgdf	300.2	06	04	1996	32	no
185155761	gfgd	gfgdf	300.2	06	04	1996	32	no
199999999	bfb	bgfbf	352.9	01	1	1992	65	yes
252527878	gfgd	gfgdf	300.2	06	04	1996	32	no
272779752	gfgd	gfgdf	300.2	06	04	1996	32	no
275282972	gfgd	gfgdf	300.2	06	04	1996	32	no
275522972	gfgd	gfgdf	300.2	06	04	1996	32	no
275662752	gfgd	gfgdf	300.2	06	04	1996	32	no
275855539	fhfgh	hfgh	200	23	02	2003	23	no
287552725	gfgd	gfgdf	300.2	06	04	1996	32	no
444444444	ghfgh	hgh	6657	7	7	7	76	no
524552542	gfgd	gfgdf	300.2	06	04	1996	32	no
529994527	gfgd	gfgdf	300.2	06	04	1996	32	no
545555252	test	god	300.9	27	03	1993	27	yes
578882524	gfgd	gfgdf	300.2	06	04	1996	32	no
617662621	gfgd	gfgdf	300.2	06	04	1996	32	no
679655753	fhfgh	hfgh	200	23	02	2003	23	no
722357535	fhfgh	hfgh	200	23	02	2003	23	no
987654321	fhfg	hfgh	5	5	5	5	5	no
